name,latitude,longitude,type
BABA BISWAKARMA WELDING,26.0656153,91.5393843,parking_spots
Uber zone,26.0917138,91.5857147,parking_spots
Airport,26.0917138,91.5857147,parking_spots
Kushal's Garage,26.0707769,91.5295273,parking_spots
Parking Plot,26.0999368,91.5899774,parking_spots
Commercial Vehicle Parking,26.111412,91.5375146,parking_spots
My Home Parking Dot Com,26.0974653,91.59510279999999,parking_spots
Panjabari,26.1050852,91.5896923,parking_spots
Car Pick Up Point,26.105836,91.5893711,parking_spots
Airport Parking Space,26.1060482,91.58943479999999,parking_spots
Anil nath House,26.1005375,91.5940469,parking_spots
Bikram baishya,26.1174258,91.572892,parking_spots
Airport Junction Guwahati,26.099706,91.5984957,parking_spots
IndianOil,26.019701,91.867617,petrol_pumps
"Bharat Petroleum ola hypercharger, Petrol Pump -Nes Zoo Road",26.1590035,91.78170999999999,petrol_pumps
Bharat petroleum,26.1288458,91.8062953,petrol_pumps
IndianOil,26.173878,91.77251400000002,petrol_pumps
IndianOil,26.089733,91.558489,petrol_pumps
IndianOil,26.093012,91.53572799999999,petrol_pumps
IndianOil,26.118662,91.54031499999999,petrol_pumps
IndianOil,26.1031066,91.50960479999999,petrol_pumps
"Hindustan Petroleum, Haligaon Bijoynagar",26.100749,91.503794,petrol_pumps
Assam Oil,26.1024697,91.61192559999999,petrol_pumps
"Sohani Meghalaya Service Station, Bharat Petroleum",26.02506999999999,91.5700883,petrol_pumps
Pump,26.1368655,91.5808088,petrol_pumps
IndianOil,26.138433,91.60965700000001,petrol_pumps
BPCL Petrol Pump Super Service Station,26.1388875,91.6136406,petrol_pumps
IndianOil,26.137563,91.63310200000001,petrol_pumps
HP PETROL PUMP - HP BARTEZPUR,26.0722111,91.4388486,petrol_pumps
IndianOil,26.1504974,91.6771943,petrol_pumps
Assam Oil,26.12057059999999,91.6939472,petrol_pumps
IndianOil,26.157867,91.6777255,petrol_pumps
NES Adabari Petrol Pump - Bharat petroleum,26.1582164,91.6832246,petrol_pumps
Guwahati Railway Station,26.1822633,91.75124129999999,railway_stations
Bamuni Gaon,26.0149029,91.2957189,railway_stations
Narangi,26.1821086,91.833325,railway_stations
Panikhaiti,26.2115546,91.8752524,railway_stations
Boko,25.9995987,91.2188674,railway_stations
Thakurkuchi,26.2335237,91.9224766,railway_stations
Digaru,26.1536805,91.978877,railway_stations
Singra,25.9850517,91.1413551,railway_stations
Panbari,26.199938,91.9775068,railway_stations
Tetelia Junction,26.125661,92.02286149999999,railway_stations
Mirza,26.0730204,91.51795829999999,railway_stations
Azara,26.1019369,91.61675389999999,railway_stations
Kamakhya Junction,26.1570247,91.6920834,railway_stations
Chaygaon,26.0642,91.3955,railway_stations
Agthori,26.1984821,91.68599909999999,railway_stations
Changsari,26.262056,91.69391,railway_stations
New Guwahati,26.1810379,91.7924439,railway_stations
New Guwahati,26.18172,91.79235,railway_stations
Noonmati,26.180633,91.80704399999999,railway_stations
Baihata,26.3417772,91.68938999999999,railway_stations
Lokpriya Gopinath Bordoloi International Airport,26.10647269999999,91.58604679999999,airports
"ATS Complex, LGBI Airport Guwahati",26.1044095,91.5873702,airports
Guwahati Airport,26.1051461,91.58894099999999,airports
"NEW RHQ BUILDING, AAI",26.1042283,91.59092129999999,airports
"New Integrated Terminal Building, Lokpriya Gopinath Bordoloi International Airport",26.1212379,91.59872159999999,airports
Banajit Kalita HOME,26.1305216,91.59789219999999,airports
Assam Travel Tourist car service Guwahati,26.1379844,91.6195499,airports
Sualkuchi Helipad,26.160742,91.56487369999999,airports
"Hellipad H2, veterinary Khanapara Playground",26.1190773,91.8174387,airports
"Helipad H1, Veterinary Khanapar plaground",26.1203293,91.8178801,airports
HELIPAD GATE,26.1206904,91.81842639999999,airports
"helipad, oil india limited",26.1719346,91.837808,airports
Army job,25.7468085,91.8891675,airports
